month,company,product,quantity,value,rate,quantity_lag1,quantity_lag2,quantity_lag3,quantity_rolling_mean_3,quantity_overall_avg,rate_lag1,rate_lag2,rate_lag3,rate_rolling_mean_3,rate_overall_avg,month_num,quarter,n_prior_months
2025-05,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1514.388888888889,106520.13888888889,70.33869547672329,1562.3333333333335,1610.2777777777778,1658.2222222222222,1610.277777777778,1706.1666666666667,70.78888414764242,71.21226496463689,71.61116322701689,71.20410411309872,71.94628587201095,5,2,7
2025-06,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1466.4444444444443,102444.44444444444,69.85906955599333,1514.388888888889,1562.3333333333335,1610.2777777777778,1562.3333333333333,1682.1944444444446,70.33869547672329,70.78888414764242,71.21226496463689,70.77994819633419,71.7453370726,6,2,8
2025-07,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1418.5,98368.75,69.34702150158618,1466.4444444444443,1514.388888888889,1562.3333333333335,1514.3888888888887,1658.2222222222222,69.85906955599333,70.33869547672329,70.78888414764242,70.32888306011968,71.53575179297702,7,3,9
2025-08,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1370.5555555555557,94293.05555555556,68.79914876368058,1418.5,1466.4444444444443,1514.388888888889,1466.4444444444443,1634.25,69.34702150158618,69.85906955599333,70.33869547672329,69.84826217810092,71.31687876383793,8,3,10
2025-09,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1322.611111111111,90217.36111111111,68.21155542487503,1370.5555555555557,1418.5,1466.4444444444443,1418.5,1610.2777777777776,68.79914876368058,69.34702150158618,69.85906955599333,69.33507994042003,71.08799421836909,9,3,11
2025-10,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1274.6666666666667,86141.66666666667,67.57975941422595,1322.611111111111,1370.5555555555557,1418.5,1370.5555555555557,1586.3055555555557,68.21155542487503,68.79914876368058,69.34702150158618,68.7859085633806,70.84829098557792,10,4,12
2025-11,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1226.7222222222222,82065.97222222222,66.89857796295458,1274.6666666666667,1322.611111111111,1370.5555555555557,1322.611111111111,1562.3333333333333,67.57975941422595,68.21155542487503,68.79914876368058,68.19682120092718,70.5968654800893,11,4,13
2025-12,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1178.7777777777778,77990.27777777778,66.16198510698463,1226.7222222222222,1274.6666666666667,1322.611111111111,1274.6666666666667,1538.361111111111,66.89857796295458,67.57975941422595,68.21155542487503,67.56329760068519,70.33270208600825,12,4,14
2026-01,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1130.8333333333335,73914.58333333334,65.3629329403095,1178.7777777777778,1226.7222222222222,1274.6666666666667,1226.7222222222224,1514.388888888889,66.16198510698463,66.89857796295458,67.57975941422595,66.88010749472171,70.05465428740668,1,1,15
2026-02,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1082.888888888889,69838.88888888889,64.49312538477324,1130.8333333333335,1178.7777777777778,1226.7222222222222,1178.7777777777778,1490.4166666666667,65.3629329403095,66.16198510698463,66.89857796295458,66.14116533674957,69.7614217032131,2,1,16
2026-03,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1034.9444444444443,65763.19444444445,63.542729078318764,1082.888888888889,1130.8333333333335,1178.7777777777778,1130.8333333333335,1466.4444444444443,64.49312538477324,65.3629329403095,66.16198510698463,65.33934781068912,69.45152191977547,3,1,17
2026-04,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,987.0,61687.5,62.5,1034.9444444444443,1082.888888888889,1130.8333333333335,1082.888888888889,1442.4722222222222,63.542729078318764,64.49312538477324,65.3629329403095,64.4662624678005,69.12325565080566,4,2,18
2024-06,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,110.4,8445.6,76.5,,,,,,,,,,,6,2,0
2024-07,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,1159.2,86995.2,75.04761904761904,110.4,110.4,110.4,110.40000000000002,110.4,76.5,76.5,76.5,76.5,76.5,7,3,1
2024-08,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,2539.2,194359.2,76.54347826086958,1159.2,110.4,110.4,460.00000000000006,634.8000000000001,75.04761904761904,76.5,76.5,76.01587301587301,75.77380952380952,8,3,2
2024-09,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,2336.8,181709.2,77.75984251968504,2539.2,1159.2,110.4,1269.6,1269.6000000000001,76.54347826086958,75.04761904761904,76.5,76.0303657694962,76.0303657694962,9,3,3
2024-10,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,644.0,48907.2,75.94285714285714,2336.8,2539.2,1159.2,2011.7333333333333,1536.4,77.75984251968504,76.54347826086958,75.04761904761904,76.45031327605788,76.46273495704341,10,4,4
2024-11,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,644.0,49302.8,76.55714285714286,644.0,2336.8,2539.2,1840.0,1357.92,75.94285714285714,77.75984251968504,76.54347826086958,76.74872597447057,76.35875939420616,11,4,5
2024-12,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,3017.6000000000004,225124.0,74.60365853658536,644.0,644.0,2336.8,1208.2666666666667,1238.9333333333334,76.55714285714286,75.94285714285714,77.75984251968504,76.75328083989501,76.3918233046956,12,4,6
2025-01,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,1196.0,86259.20000000001,72.12307692307694,3017.6000000000004,644.0,644.0,1435.2,1493.0285714285715,74.60365853658536,76.55714285714286,75.94285714285714,75.70121951219511,76.13637119496558,1,1,7
2025-02,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,736.0,55200.0,75.0,1196.0,3017.6000000000004,644.0,1619.2,1455.9,72.12307692307694,74.60365853658536,76.55714285714286,74.42795943893505,75.6347094109795,2,1,8
2025-03,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,791.2,58548.8,74.0,736.0,1196.0,3017.6000000000004,1649.8666666666668,1375.9111111111113,75.0,72.12307692307694,74.60365853658536,73.90891181988744,75.56418614309288,3,1,9
2025-04,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,802.5230769230769,59507.72307692308,74.15079365079366,791.2,736.0,1196.0,907.7333333333332,1317.44,74.0,75.0,72.12307692307694,73.70769230769231,75.4077675287836,4,2,10
2025-05,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,813.8461538461539,60466.64615384616,74.29739130434783,802.5230769230769,791.2,736.0,776.5743589743589,1270.6293706293707,74.15079365079366,74.0,75.0,74.38359788359789,75.29349717623906,5,2,11
2025-06,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,825.1692307692308,61425.56923076924,74.43996569468268,813.8461538461539,802.5230769230769,791.2,802.5230769230769,1232.5641025641028,74.29739130434783,74.15079365079366,74.0,74.14939498504715,75.21048835358145,6,2,12
2025-07,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,836.4923076923077,62384.49230769231,74.57868020304569,825.1692307692308,813.8461538461539,802.5230769230769,813.8461538461539,1201.2260355029587,74.43996569468268,74.29739130434783,74.15079365079366,74.29605021660807,75.15121737982001,7,3,13
2025-08,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,847.8153846153847,63343.415384615386,74.71368948247078,836.4923076923077,825.1692307692308,813.8461538461539,825.1692307692307,1175.1736263736263,74.57868020304569,74.43996569468268,74.29739130434783,74.43867906735873,75.11032186719328,8,3,14
2025-09,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,859.1384615384616,64302.338461538464,74.84514003294893,847.8153846153847,836.4923076923077,825.1692307692308,836.4923076923078,1153.3497435897436,74.71368948247078,74.57868020304569,74.43996569468268,74.57744512673305,75.08387970821177,9,3,15
2025-10,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,870.4615384615385,65261.26153846154,74.97317073170733,859.1384615384616,847.8153846153847,836.4923076923077,847.8153846153847,1134.9615384615386,74.84514003294893,74.71368948247078,74.57868020304569,74.71250323948847,75.06895847850785,10,4,16
2025-11,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,881.7846153846153,66220.18461538461,75.09791332263242,870.4615384615385,859.1384615384616,847.8153846153847,859.1384615384615,1119.4027149321269,74.97317073170733,74.84514003294893,74.71368948247078,74.84400008237567,75.06332390516663,11,4,17
2025-12,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,893.1076923076923,67179.10769230769,75.21949286846275,881.7846153846153,870.4615384615385,859.1384615384616,870.4615384615385,1106.2017094017094,75.09791332263242,74.97317073170733,74.84514003294893,74.97207469576288,75.0652455394703,12,4,18
2026-01,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,904.4307692307692,68138.03076923077,75.33802816901408,893.1076923076923,881.7846153846153,870.4615384615385,881.7846153846153,1094.9862348178137,75.21949286846275,75.09791332263242,74.97317073170733,75.0968589742675,75.07336381994358,1,1,19
2026-02,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,915.7538461538461,69096.95384615385,75.45363214837712,904.4307692307692,893.1076923076923,881.7846153846153,893.1076923076922,1085.4584615384615,75.33802816901408,75.21949286846275,75.09791332263242,75.21847812003641,75.08659703739711,2,1,20
2026-03,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,927.0769230769231,70055.87692307692,75.56641221374046,915.7538461538461,904.4307692307692,893.1076923076923,904.4307692307693,1077.3772893772893,75.45363214837712,75.33802816901408,75.21949286846275,75.33705106195133,75.10407489982472,3,1,21
2026-04,Rahul Traders,JK TUFFCOTE 300GSM-63.5X96.5-18.4 KGS-100SHT,938.4,71014.8,75.6764705882353,927.0769230769231,915.7538461538461,904.4307692307692,915.7538461538461,1070.5454545454545,75.56641221374046,75.45363214837712,75.33802816901408,75.45269084371056,75.12509023227544,4,2,22
2024-07,Rahul Traders,JK TUFFCOTE 300GSM-70.0X101.5-21.3KGS-100 SHT,4813.8,356221.2,74.0,,,,,,,,,,,7,3,0
2024-06,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,716.1,54065.55,75.5,,,,,,,,,,,6,2,0
2024-07,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,21.7,1649.2,76.0,716.1,716.1,716.1,716.1,716.1,75.5,75.5,75.5,75.5,75.5,7,3,1
2024-08,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,108.50000000000001,8246.0,75.99999999999999,21.7,716.1,716.1,484.6333333333334,368.90000000000003,76.0,75.5,75.5,75.66666666666667,75.75,8,3,2
2024-09,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,195.3,14842.8,75.99999999999999,108.50000000000001,21.7,716.1,282.1,282.1,75.99999999999999,76.0,75.5,75.83333333333333,75.83333333333333,9,3,3
2024-10,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1475.6,108011.75000000001,73.19852941176472,195.3,108.50000000000001,21.7,108.5,260.40000000000003,75.99999999999999,75.99999999999999,76.0,75.99999999999999,75.875,10,4,4
2024-11,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,2755.9,201180.7,73.0,1475.6,195.3,108.50000000000001,593.1333333333333,503.43999999999994,73.19852941176472,75.99999999999999,75.99999999999999,75.06617647058823,75.33970588235294,11,4,5
2024-12,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,477.4,35327.6,74.0,2755.9,1475.6,195.3,1475.6000000000001,878.85,73.0,73.19852941176472,75.99999999999999,74.06617647058823,74.94975490196079,12,4,6
2025-01,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,282.1,20875.4,74.0,477.4,2755.9,1475.6,1569.6333333333332,821.5,74.0,73.0,73.19852941176472,73.39950980392157,74.81407563025209,1,1,7
2025-02,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,415.1933333333334,31331.90666666667,75.46341463414633,282.1,477.4,2755.9,1171.8,754.075,74.0,74.0,73.0,73.66666666666667,74.71231617647058,2,1,8
2025-03,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,548.2866666666666,41788.41333333333,76.21635883905013,415.1933333333334,282.1,477.4,391.56444444444446,716.4214814814816,75.46341463414633,74.0,74.0,74.48780487804878,74.79577156065677,3,1,9
2025-04,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,681.38,52244.92,76.67515923566879,548.2866666666666,415.1933333333334,282.1,415.1933333333333,699.608,76.21635883905013,75.46341463414633,74.0,75.22659115773216,74.93783028849612,4,2,10
2025-05,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,814.4733333333334,62701.426666666666,76.98401420959148,681.38,548.2866666666666,415.1933333333334,548.2866666666666,697.9509090909091,76.67515923566879,76.21635883905013,75.46341463414633,76.11831090295509,75.09576928369364,5,2,11
2025-06,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,947.5666666666667,73157.93333333333,77.20610687022901,814.4733333333334,681.38,548.2866666666666,681.38,707.6611111111112,76.98401420959148,76.67515923566879,76.21635883905013,76.62517742810347,75.25312302751846,6,2,12
2025-07,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1080.6599999999999,83614.44,77.37349397590363,947.5666666666667,814.4733333333334,681.38,814.4733333333334,726.1153846153846,77.20610687022901,76.98401420959148,76.67515923566879,76.95509343849642,75.40335255388081,7,3,13
2025-08,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1213.7533333333333,94070.94666666666,77.5041716328963,1080.6599999999999,947.5666666666667,814.4733333333334,947.5666666666666,751.4399999999999,77.37349397590363,77.20610687022901,76.98401420959148,77.18787168524136,75.54407694116814,8,3,14
2025-09,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1346.8466666666668,104527.45333333334,77.60902255639097,1213.7533333333333,1080.6599999999999,947.5666666666667,1080.6599999999999,782.2608888888889,77.5041716328963,77.37349397590363,77.20610687022901,77.36125749300965,75.67474992061669,9,3,15
2025-10,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1479.94,114983.95999999999,77.69501466275659,1346.8466666666668,1213.7533333333333,1080.6599999999999,1213.7533333333333,817.5475,77.60902255639097,77.5041716328963,77.37349397590363,77.49556272173031,75.79564196035258,10,4,16
2025-11,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1613.0333333333333,125440.46666666667,77.76681614349776,1479.94,1346.8466666666668,1213.7533333333333,1346.8466666666666,856.5117647058823,77.69501466275659,77.60902255639097,77.5041716328963,77.60273628401463,75.90736976637635,11,4,17
2025-12,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1746.1266666666666,135896.97333333333,77.82767191383596,1613.0333333333333,1479.94,1346.8466666666668,1479.9399999999998,898.5407407407407,77.76681614349776,77.69501466275659,77.60902255639097,77.6902844542151,76.01067234288308,12,4,18
2026-01,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,1879.2199999999998,146353.47999999998,77.87990762124711,1746.1266666666666,1613.0333333333333,1479.94,1613.0333333333335,943.1505263157895,77.82767191383596,77.76681614349776,77.69501466275659,77.76316757336343,76.10630389924903,1,1,19
2026-02,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,2012.3133333333335,156809.98666666666,77.9252336448598,1879.2199999999998,1746.1266666666666,1613.0333333333333,1746.1266666666663,989.9540000000001,77.87990762124711,77.82767191383596,77.76681614349776,77.82479855952694,76.19498408534893,2,1,20
2026-03,Rahul Traders,JK TUFFCOTE 300GSM-71.0X102.0-21.7KGS-100 SHT,2145.4066666666668,167266.49333333332,77.96493594066081,2012.3133333333335,1879.2199999999998,1746.1266666666666,1879.22,1038.6377777777777,77.9252336448598,77.87990762124711,77.82767191383596,77.87760439331429,76.27737692151612,3,1,21
